HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0853 0 3.54 Diamond 0.003
DDH0853 3.54 6.58 Diamond 0.003
DDH0853 6.58 9.63 Diamond 0.003
DDH0853 9.63 12.68 Diamond 0.003
DDH0853 12.68 15.73 Diamond 0.003
DDH0853 15.73 18.78 Diamond 0.009
DDH0853 18.78 21.82 Diamond 0.003
DDH0853 21.82 24.87 Diamond 0.003
DDH0853 24.87 27.92 Diamond 0.003
DDH0853 27.92 30.97 Diamond 0.003
DDH0853 30.97 34.02 Diamond 0.003
DDH0853 34.02 37.06 Diamond 0.003
DDH0853 37.06 40.11 Diamond 0.003
DDH0853 40.11 42.73 Diamond 0.003
DDH0853 42.73 45.72 Diamond 0.003
DDH0853 45.72 48.77 Diamond 0.003
DDH0853 48.77 50.6 Diamond 0.118
DDH0853 50.6 53.64 Diamond 0.003
DDH0853 53.64 56.69 Diamond 0.003
DDH0853 56.69 59.74 Diamond 0.003
DDH0853 59.74 62.79 Diamond 0.003
DDH0853 62.79 65.84 Diamond 0.053
DDH0853 65.84 68.88 Diamond 0.104
DDH0853 68.88 71.93 Diamond 0.034
DDH0853 71.93 74.98 Diamond 0.003
DDH0853 74.98 78.03 Diamond 0.008
DDH0853 78.03 81.08 Diamond 0.003
DDH0853 81.08 84.12 Diamond 0.003
DDH0853 84.12 87.17 Diamond 0.119
DDH0853 87.17 90.22 Diamond 0.007
DDH0853 90.22 91.74 Diamond 0.031
DDH0853 91.74 93.27 Diamond 0.121
DDH0853 93.27 94.79 Diamond 0.126
DDH0853 94.79 96.32 Diamond 0.166
DDH0853 96.32 97.84 Diamond 0.151
DDH0853 97.84 99.36 Diamond 0.085
DDH0853 99.36 100.89 Diamond 0.101
DDH0853 100.89 101.86 Diamond 0.065
DDH0853 101.86 105.46 Diamond 0.003
DDH0853 105.46 108.51 Diamond 0.003
DDH0853 108.51 111.56 Diamond 0.005
DDH0853 111.56 114.6 Diamond 0.005
DDH0853 114.6 117.65 Diamond 0.01
DDH0853 117.65 119.18 Diamond 0.042
DDH0853 119.18 120.7 Diamond 0.051
DDH0853 120.7 122.22 Diamond 0.036
DDH0853 122.22 123.75 Diamond 0.047
DDH0853 123.75 125.27 Diamond 0.082
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0853 125.27 126.8 Diamond 0.038
DDH0853 126.8 128.32 Diamond 0.022
DDH0853 128.32 129.84 Diamond 0.025
DDH0853 129.84 131.37 Diamond 0.049
DDH0853 131.37 132.89 Diamond 0.057
DDH0853 132.89 134.42 Diamond 0.807
DDH0853 134.42 135.94 Diamond 0.253
DDH0853 135.94 137.07 Diamond 0.162
DDH0853 137.07 138.23 Diamond 0.133
DDH0853 138.23 140.21 Diamond 0.104
DDH0853 140.21 142.74 Diamond 0.375
DDH0853 142.74 143.87 Diamond 0.22
DDH0853 143.87 145.08 Diamond 0.107
DDH0853 145.08 146.91 Diamond 0.122
DDH0853 146.91 148.44 Diamond 0.135
DDH0853 148.44 150.27 Diamond 0.091
DDH0853 150.27 152.03 Diamond 0.223
DDH0853 152.03 154.23 Diamond 0.136
DDH0853 154.23 157.28 Diamond 0.111
DDH0853 157.28 160.32 Diamond 0.156
DDH0853 160.32 163.37 Diamond 0.24
DDH0853 163.37 166.42 Diamond 0.057
DDH0853 166.42 169.47 Diamond 0.007
DDH0853 169.47 172.52 Diamond 0.009
DDH0853 172.52 175.56 Diamond 0.008
DDH0853 175.56 178.61 Diamond 0.003
DDH0853 178.61 181.66 Diamond 0.003
DDH0853 181.66 184.71 Diamond 0.003
DDH0853 184.71 187.76 Diamond 0.003
DDH0853 187.76 190.8 Diamond 0.003
DDH0853 190.8 193.85 Diamond 0.003
DDH0853 193.85 196.9 Diamond 0.003
DDH0853 196.9 199.95 Diamond 0.003
DDH0853 199.95 203 Diamond 0.003
DDH0853 203 206.04 Diamond 0.003
DDH0853 206.04 209.09 Diamond 0.007
DDH0853 209.09 212.14 Diamond 0.028
DDH0853 212.14 215.19 Diamond 0.494
DDH0853 215.19 218.24 Diamond 0.247
DDH0853 218.24 221.28 Diamond 0.206
DDH0853 221.28 224.33 Diamond 0.022
DDH0853 224.33 227.38 Diamond 0.007
DDH0853 227.38 230.43 Diamond 0.067
DDH0853 230.43 233.48 Diamond 0.067
DDH0853 233.48 236.52 Diamond 0.018
DDH0853 236.52 239.57 Diamond 0.007
DDH0853 239.57 242.62 Diamond 0.023
DDH0853 242.62 245.67 Diamond 0.019
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0853 245.67 248.72 Diamond 0.022
DDH0853 248.72 251.76 Diamond 0.044
DDH0853 251.76 253.5 Diamond 0.013
DDH0853 253.5 255.51 Diamond 0.003
DDH0853 255.51 257.86 Diamond 0.003
DDH0853 257.86 260.91 Diamond 0.003
DDH0853 260.91 263.96 Diamond 0.017
