HOLEID EAST NORTH RL DEPTH
UTM NAD83 m UTM NAD83 m m m
DDH0853 542775.178 3826513.628 140.096 288.34
DDH0854 542911.322 3826484.158 140.967 291.85
DDH0855 542686.706 3827258.442 152.476 581.01
DDH0856 542824.693 3826689.343 141.597 453.48
DDH0857 542772.435 3826513.157 140.215 380.02
DDH0858 542911.786 3826483.041 141.226 252.04
DDH0859 542044.948 3828797.768 173.000 490.06
DDH0860 542032.037 3828276.182 172.424 447.51
DDH0861 542885.500 3826521.000 141.000 282.58
DDH0862 542731.675 3826586.023 138.706 318.88
DDH0863 542884.075 3826523.000 140.901 261.27
DDH0864 542543.033 3826293.824 141.453 120.85
DDH0865 542672.164 3826260.184 141.733 78.18
DDH0866 542541.783 3826292.570 141.313 116.13
DDH0867 542671.907 3826262.283 141.833 74.07
DDH0868 542613.133 3826289.324 141.812 76.66
DDH0869 542619.929 3826222.248 141.524 104.15
DDH0870 542668.067 3826260.616 142.009 78.58
DDH0871 542543.247 3826290.381 142.935 140.51
DDH0872 542612.385 3826288.515 140.598 75.16
DDH0873 542669.084 3826260.242 142.107 101.25
DDH0874 542617.958 3826251.387 141.499 91.71
DDH0875 542668.555 3826261.049 142.450 87.08
DDH0876 542564.400 3826226.000 141.805 95.28
DDH0877 542590.724 3826252.208 141.193 113.39
DDH0878 542493.683 3826373.555 142.226 86.01
DDH0879 542617.726 3826252.047 141.162 82.84
DDH0880 542593.016 3826253.467 140.204 117.96
DDH0881 542495.244 3826373.517 142.163 97.99
DDH0882 542498.444 3826624.698 142.794 241.68
DDH0883 542564.000 3826226.000 141.991 98.05
DDH0884 542384.540 3826433.401 140.849 126.89
DDH0885 542300.388 3826425.202 137.977 103.81
DDH0886 542562.110 3826318.685 141.477 128.35
DDH0887 542383.916 3826433.442 142.478 125.43
DDH0888 542375.162 3826319.016 135.881 96.56
DDH0889 542386.135 3826434.484 141.976 118.99
DDH0890 542401.394 3826340.837 134.976 105.77
DDH0891 542321.023 3826411.424 136.329 124.11
DDH0892 542561.054 3826318.187 141.377 145.02
DDH0893 542432.001 3826325.770 135.632 85.50
DDH0894 542407.884 3826360.931 135.077 96.50
DDH0895 542418.032 3826367.421 135.945 130.15
DDH0896 542431.647 3826323.622 135.738 85.86
DDH0897 542393.803 3826355.670 135.754 111.74
DDH0898 542736.389 3826866.880 136.375 261.00
DDH0899 542668.000 3826923.000 151.000 310.04
DDH0900 543412.875 3826583.928 151.752 450.19
HOLEID EAST NORTH RL DEPTH
UTM NAD83 m UTM NAD83 m m m
DDH0901 542736.376 3826865.553 136.692 300.41
DDH0902 542670.457 3826919.761 153.053 291.60
DDH0903 542129.216 3826297.009 136.584 145.21
DDH0904 542266.362 3827917.979 160.750 462.66
DDH0905 542669.431 3826920.638 153.413 308.18
DDH0906 542736.069 3826864.446 135.588 254.93
DDH0907 542128.762 3826295.990 136.612 154.56
DDH0908 542062.678 3826323.716 132.676 139.02
DDH0909 542668.829 3826920.630 153.519 312.94
DDH0910 542128.186 3826295.887 137.284 184.25
DDH0911 542093.070 3828088.796 166.212 413.43
DDH0912 542062.370 3826323.292 133.978 131.98
DDH0913 542158.232 3826245.217 137.722 141.46
DDH0914 541953.916 3828487.950 174.210 465.61
DDH0915 542061.605 3826324.184 134.510 123.29
DDH0916 542238.245 3828276.845 169.451 520.45
DDH0917 541914.159 3826112.127 133.633 122.22
DDH0918 542062.570 3826323.240 132.600 154.17
DDH0919 542329.353 3826863.229 155.107 325.04
DDH0920 542983.819 3829536.569 170.661 438.09
DDH0921 541915.306 3826110.948 133.681 141.55
DDH0922 541915.754 3826113.810 133.530 88.54
