Easting,Northing,Elevation,DistRiver,Cd,Cu,Pb,Zn,LOI,Fldf,Soil
1637,2651,806,10,82,47,191,812,111,1,1
1894,2630,751,170,24,32,102,298,14,1,2
2110,2630,698,340,30,32,97,321,16,1,2
2356,2618,780,550,16,27,82,213,31,1,2
1755,2599,794,100,42,51,281,746,51,1,2
1503,2597,798,10,170,128,405,1548,123,1,1
1665,2597,880,60,24,47,297,832,100,2,1
1373,2555,790,10,120,117,654,1839,165,1,1
1226,2517,774,10,94,104,482,1528,139,1,1
1500,2513,668,70,109,90,541,1571,102,1,1
1961,2493,818,320,12,21,48,167,10,2,0
1851,2475,869,260,17,22,65,176,10,2,0
1087,2461,755,20,82,76,276,933,81,1,1
1692,2457,636,200,43,50,294,746,53,1,2
1249,2442,854,70,12,30,244,703,83,2,1
1302,2413,674,140,35,34,207,550,58,1,1
1507,2401,952,190,0,31,96,262,59,2,1
1004,2359,740,20,73,80,310,1190,120,1,1
1192,2335,776,200,26,36,180,432,31,1,1
1810,2331,928,360,13,21,62,258,20,1,2
1683,2314,778,320,31,38,211,464,45,1,2
1042,2255,877,70,0,25,94,253,81,2,1
1862,2247,981,450,0,20,56,142,50,2,2
926,2236,744,10,94,78,210,907,141,1,1
1573,2223,952,410,12,23,80,210,58,2,2
1197,2219,955,240,0,23,86,139,71,2,1
1682,2161,818,480,17,26,135,365,9,1,2
1562,2137,942,450,0,33,81,210,59,2,2
1878,2122,960,550,0,16,49,119,45,2,2
895,2070,736,10,83,77,158,761,145,1,1
1044,2030,969,150,0,23,75,203,68,2,1
1429,2020,957,530,0,22,72,198,49,2,2
1670,2007,942,660,17,24,112,282,45,1,2
1747,2000,973,650,0,17,50,152,54,2,2
1867,1994,1008,680,0,14,49,133,44,3,2
889,1933,720,20,70,65,141,659,148,1,1
1599,1891,886,690,21,32,162,375,55,1,2
924,1865,846,70,0,21,84,232,66,2,1
1535,1852,829,710,17,24,94,222,34,1,2
1719,1840,952,760,8,18,57,176,50,3,2
814,1794,722,10,68,66,144,643,133,1,1
1851,1773,909,1000,0,18,50,117,53,2,3
1117,1741,920,310,0,21,56,166,41,2,2
959,1723,782,160,22,27,131,317,45,2,1
846,1722,847,70,0,24,65,191,60,2,1
1562,1687,909,750,0,23,51,136,43,2,2
734,1666,736,20,74,72,181,801,152,1,1
1317,1625,997,540,8,46,42,141,45,3,2
874,1604,793,160,18,25,81,241,29,2,2
655,1564,518,20,66,75,173,784,114,1,1
1131,1545,963,390,0,24,48,128,71,2,3
1222,1542,1013,480,10,29,48,158,52,3,2
1467,1485,987,760,4,23,48,143,66,2,3
611,1475,570,80,63,63,159,765,128,1,1
1601,1460,903,860,8,18,37,126,46,2,3
1728,1458,971,860,4,20,39,113,41,2,3
1057,1450,847,410,0,23,49,140,61,2,3
870,1425,580,270,78,75,399,1060,90,1,1
1391,1369,1032,720,8,19,41,129,46,3,3
476,1305,634,20,108,85,333,1161,96,1,1
1676,1263,992,680,0,22,48,130,61,2,3
540,1255,576,80,39,47,268,703,70,1,1
1092,1233,764,560,7,22,45,119,36,1,1
381,1224,628,70,94,88,462,1383,85,1,1
1174,1221,884,630,0,30,67,221,57,2,3
1281,1212,1052,650,4,25,84,240,88,2,3
422,1173,857,140,28,36,216,545,107,2,1
528,1167,648,130,35,46,252,676,62,1,1
465,1164,648,110,47,55,315,793,65,1,1
1514,1103,940,500,0,27,64,192,75,2,3
1252,1101,632,750,34,55,325,778,69,1,1
693,1097,817,320,4,22,76,186,65,2,1
312,1079,642,100,56,68,429,1136,82,1,1
1380,1073,876,500,4,23,63,203,72,2,2
862,1066,795,460,8,25,87,226,56,2,1
510,1058,632,260,31,39,237,593,70,1,1
353,1042,853,150,24,41,145,505,94,2,1
407,1027,632,200,39,49,260,685,57,1,1
580,1010,846,320,4,24,81,198,66,2,1
210,966,754,80,25,36,204,560,44,1,1
432,945,616,270,29,45,228,549,73,1,1
495,936,656,320,39,48,241,680,82,1,1
520,878,904,380,12,31,73,206,69,3,1
805,867,765,630,4,26,73,180,70,2,1
434,861,786,310,20,27,146,451,70,3,1
101,857,768,70,27,34,226,577,102,2,1
1182,840,779,380,4,22,49,157,64,2,1
275,816,850,220,26,33,163,420,90,2,1
458,810,690,360,27,36,201,539,43,1,1
1018,758,761,420,8,23,66,199,65,2,1
485,733,874,430,15,29,95,296,54,3,1
5,706,853,70,27,37,214,553,94,2,1
606,698,841,540,4,18,68,187,59,2,1
429,694,763,450,20,38,148,400,65,2,1
866,681,940,460,8,21,51,162,57,3,1
1721,666,870,80,37,53,250,722,91,2,2
1551,653,730,50,181,76,464,1672,170,1,1
203,649,865,280,18,27,129,332,70,2,1
